depth,wavelength,luz
0.3,683,1.5252339643534201e-5
0.31,443,0.0012858851423070915
0.31,510,0.0012980686951128981
0.31,683,1.52086383632258e-5
0.32,443,0.0012838122114127671
0.32,510,0.0012966936585696216
0.32,683,1.5165197897929387e-5
0.33,443,0.001281746066861554
0.33,510,0.0012953219208915318
0.33,683,1.5122016570008612e-5
0.34,443,0.001279686685526813
0.34,510,0.0012939534740576445
0.34,683,1.5079092713310332e-5
0.35000000000000003,443,0.0012776340443691127
0.35000000000000003,510,0.0012925883100671546
0.35000000000000003,683,1.5036424673055004e-5
0.36,443,0.0012755881204359718
0.36,510,0.0012912264209390698
0.36,683,1.4994010805731141e-5
0.37,443,0.0012735488908614126
0.37,510,0.0012898677987125584
0.37,683,1.4951849478980722e-5
0.38,443,0.0012715163328653521
0.38,510,0.0012885124354463364
0.38,683,1.4909939071500797e-5
0.39,443,0.0012694904237532097
0.39,510,0.0012871603232189846
0.39,683,1.4868277972935926e-5
0.4,443,0.001267471140915541
0.4,510,0.001285811454128624
0.4,683,1.4826864583768634e-5
0.41000000000000003,443,0.0012654584618273655
0.41000000000000003,510,0.001284465820292847
0.41000000000000003,683,1.4785697315224848e-5
0.42,443,0.0012634523640480684
0.42,510,0.0012831234138489256
0.42,683,1.4744774589157216e-5
0.43,443,0.0012614528252205554
0.43,510,0.0012817842269530384
0.43,683,1.470409483795722e-5
0.44,443,0.0012594598230709876
0.44,510,0.00128044825178099
0.44,683,1.4663656504442106e-5
0.45,443,0.0012574733354083325
0.45,510,0.0012791154805275012
0.45,683,1.4623458041755829e-5
0.46,443,0.0012554933401238587
0.46,510,0.001277785905406488
0.46,683,1.4583497913274256e-5
0.47000000000000003,443,0.0012535198151908482
0.47000000000000003,510,0.0012764595186507339
0.47000000000000003,683,1.4543774592496779e-5
0.48,443,0.0012515527386638766
0.48,510,0.0012751363125119081
0.48,683,1.450428656295359e-5
0.49,443,0.001249592088678546
0.49,510,0.0012738162792604142
0.49,683,1.4465032318100701e-5
0.5,443,0.0012476378434509783
0.5,510,0.0012724994111853593
0.5,683,1.4426010361227027e-5
0.51,443,0.0012456899812774698
0.51,510,0.0012711857005944602
0.51,683,1.4387219205358116e-5
0.52,443,0.0012437484805338428
0.52,510,0.0012698751398137924
0.52,683,1.4348657373151242e-5
0.53,443,0.0012418133196751568
0.53,510,0.001268567721187993
0.53,683,1.431032339680944e-5
0.54,443,0.0012398844772352825
0.54,510,0.0012672634370798936
0.54,683,1.4272215817974716e-5
0.55,443,0.001237961931826304
0.55,510,0.0012659622798705458
0.55,683,1.4234333187644634e-5
0.56,443,0.0012360456621382813
0.56,510,0.0012646642419590823
0.56,683,1.4196674066068385e-5
0.5700000000000001,443,0.0012341356469385903
0.5700000000000001,510,0.0012633693157626934
0.5700000000000001,683,1.4159237022659164e-5
0.58,443,0.0012322318650717376
0.58,510,0.0012620774937164003
0.58,683,1.4122020635897699e-5
0.59,443,0.0012303342954585275
0.59,510,0.0012607887682732116
0.59,683,1.4085023493240205e-5
0.6,443,0.001228442917096097
0.6,510,0.001259503131903694
0.6,683,1.4048244191024814e-5
0.61,443,0.0012265577090572529
0.61,510,0.0012582205770960873
0.61,683,1.4011681334382966e-5
0.62,443,0.0012246786504897546
0.62,510,0.0012569410963562705
0.62,683,1.3975333537147638e-5
0.63,443,0.0012228057206165024
0.63,510,0.0012556646822074282
0.63,683,1.3939199421759621e-5
0.64,443,0.001220938898734404
0.64,510,0.0012543913271901748
0.64,683,1.390327761917932e-5
0.65,443,0.0012190781642145865
0.65,510,0.0012531210238624156
0.65,683,1.3867566768802503e-5
0.66,443,0.0012172234965013857
0.66,510,0.0012518537647990715
0.66,683,1.383206551835908e-5
0.67,443,0.0012153748751123777
0.67,510,0.0012505895425922477
0.67,683,1.379677252383966e-5
0.68,443,0.0012135322796375597
0.68,510,0.0012493283498509545
0.68,683,1.3761686449394502e-5
0.6900000000000001,443,0.0012116956897393256
0.6900000000000001,510,0.0012480701792011762
0.6900000000000001,683,1.372680596725367e-5
0.7000000000000001,443,0.0012098650851515172
0.7000000000000001,510,0.0012468150232855405
0.7000000000000001,683,1.3692129757639128e-5
0.71,443,0.0012080404456794739
0.71,510,0.001245562874763337
0.71,683,1.3657656508673832e-5
0.72,443,0.001206221751199302
0.72,510,0.001244313726310669
0.72,683,1.3623384916301806e-5
0.73,443,0.001204408981657625
0.73,510,0.0012430675706198554
0.73,683,1.358931368420033e-5
0.74,443,0.0012026021170709713
0.74,510,0.0012418244003997937
0.74,683,1.3555441523690511e-5
0.75,443,0.0012008011375254004
0.75,510,0.0012405842083755595
0.75,683,1.3521767153660265e-5
0.76,443,0.0011990060231762078
0.76,510,0.0012393469872885392
0.76,683,1.3488289300473805e-5
0.77,443,0.0011972167542472446
0.77,510,0.0012381127298960925
0.77,683,1.3455006697893527e-5
0.78,443,0.0011954333110308069
0.78,510,0.0012368814289716893
0.78,683,1.3421918086991971e-5
0.79,443,0.0011936556738868043
0.79,510,0.0012356530773047132
0.79,683,1.3389022216070668e-5
0.8,443,0.0011918838232426868
0.8,510,0.0012344276677002598
0.8,683,1.3356317840580202e-5
0.81,443,0.0011901177395928274
0.81,510,0.0012332051929792745
0.81,683,1.3323803723031867e-5
0.8200000000000001,443,0.0011883574034979986
0.8200000000000001,510,0.0012319856459781988
0.8200000000000001,683,1.3291478632926658e-5
0.8300000000000001,443,0.001186602795585294
0.8300000000000001,510,0.0012307690195490456
0.8300000000000001,683,1.3259341346663384e-5
0.84,443,0.0011848538965473024
